,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000530,Aldershot,-3,-11,SE,UKJ,72430,106193,Aldershot,Con,Con,-2.5,-11,Ald,Con hold ,
E14000531,Aldridge-Brownhills,-3,-1,WM,UKG,60215,77532,Aldridge-Brownhills,Con,Con,-2.5,-1,Ald,Con hold ,
E14000532,Altrincham and Sale West,-7,3,NW,UKD,71511,101457,Altrincham and Sale West,Con,Con,-6.5,3,Alt,Con hold ,
E14000533,Amber Valley,0,2,EM,UKF,69510,90132,Amber Valley,Con,Con,0,2,Amb,Con hold ,
E14000534,Arundel and South Downs,0,-15,SE,UKJ,77242,100501,Arundel and South Downs,Con,Con,0.5,-15,Aru,Con hold ,
E14000535,Ashfield,1,2,EM,UKF,77091,106495,Ashfield,Lab,Lab,1,2,Ash,Lab hold ,
E14000536,Ashford,12,-13,SE,UKJ,85177,122178,Ashford,Con,Con,12.5,-13,Ash,Con hold ,
E14000537,Ashton-under-Lyne,-5,6,NW,UKD,68343,92289,Ashton-Under-Lyne,Lab,Lab,-5,6,Ash,Lab hold ,
E14000538,Aylesbury,2,-6,SE,UKJ,80315,121812,Aylesbury,Con,Con,2,-6,Ayl,Con hold ,
E14000539,Banbury,1,-5,SE,UKJ,86420,122939,Banbury,Con,Con,1.5,-5,Ban,Con hold ,
E14000540,Barking,8,-9,LO,UKI,73977,139764,Barking,Lab,Lab,8.5,-9,Bar,Lab hold ,
E14000541,Barnsley Central,-2,6,YH,UKE,64534,90319,Barnsley Central,Lab,Lab,-2,6,Bar,Lab hold ,
E14000542,Barnsley East,-1,6,YH,UKE,69135,94604,Barnsley East,Lab,Lab,-1,6,Bar,Lab hold ,
E14000543,Barrow and Furness,-5,13,NW,UKD,68338,86806,Barrow and Furness,Lab,Lab,-4.5,13,Bar,Lab hold ,
E14000544,Basildon and Billericay,8,-5,EA,UKH,66347,95530,Basildon and Billericay,Con,Con,8.5,-5,Bas,Con hold ,
E14000545,Basingstoke,-3,-10,SE,UKJ,79665,115046,Basingstoke,Con,Con,-3,-10,Bas,Con hold ,
E14000546,Bassetlaw,2,4,EM,UKF,76796,106994,Bassetlaw,Lab,Lab,2,4,Bas,Lab hold ,
E14000547,Bath,-6,-9,SW,UKK,63084,95024,Bath,LD,Con,-5.5,-9,Bat,LD gain from Con,
E14000548,Batley and Spen,-1,8,YH,UKE,78373,111539,Batley and Spen,Lab,Lab,-1,8,Bat,Lab hold ,
E14000549,Battersea,4,-12,LO,UKI,76111,115715,Battersea,Lab,Con,4,-12,Bat,Lab gain from Con,
E14000550,Beaconsfield,-1,-8,SE,UKJ,74726,102421,Beaconsfield,Con,Con,-1,-8,Bea,Con hold ,
E14000551,Beckenham,7,-14,LO,UKI,67439,92767,Beckenham,Con,Con,7,-14,Bec,Con hold ,
E14000552,Bedford,4,-3,EA,only ,69311,106341,Bedford,Lab,Con,4.5,-3,Bed,Lab gain from Con,
E14000553,Bermondsey and Old Southwark,5,-11,LO,UKI,83298,144175,Bermondsey and Old Southwark,Lab,Lab,5.5,-11,Ber,Lab hold ,
E14000554,Berwick-upon-Tweed,-4,17,NE,UKC,56969,75542,Berwick-Upon-Tweed,Con,Con,-3.5,17,Ber,Con hold ,
E14000555,Bethnal Green and Bow,7,-10,LO,UKI,82727,146820,Bethnal Green and Bow,Lab,Lab,7,-10,Bet,Lab hold ,
E14000556,Beverley and Holderness,4,8,YH,UKE,80805,100257,Beverley and Holderness,Con,Con,4,8,Bev,Con hold ,
E14000557,Bexhill and Battle,10,-15,SE,UKJ,78796,104993,Bexhill and Battle,Con,Con,10.5,-15,Bex,Con hold ,
E14000558,Bexleyheath and Crayford,9,-10,LO,UKI,64828,93923,Bexleyheath and Crayford,Con,Con,9,-10,Bex,Con hold ,
E14000559,Birkenhead,-10,2,NW,UKD,62410,90087,Birkenhead,Lab,Lab,-10,2,Bir,Lab hold ,
E14000560,"Birmingham, Edgbaston",-4,-3,WM,UKG,65591,105317,"Birmingham, Edgbaston",Lab,Lab,-3.5,-3,Bir,Lab hold ,
E14000561,"Birmingham, Erdington",-2,-2,WM,UKG,65128,103188,"Birmingham, Erdington",Lab,Lab,-2,-2,Bir,Lab hold ,
E14000562,"Birmingham, Hall Green",-3,-4,WM,UKG,76330,120130,"Birmingham, Hall Green",Lab,Lab,-3,-4,Bir,Lab hold ,
E14000563,"Birmingham, Hodge Hill",-1,-2,WM,UKG,75302,129262,"Birmingham, Hodge Hill",Lab,Lab,-1,-2,Bir,Lab hold ,
E14000564,"Birmingham, Ladywood",-3,-3,WM,UKG,68128,146279,"Birmingham, Ladywood",Lab,Lab,-2.5,-3,Bir,Lab hold ,
E14000565,"Birmingham, Northfield",-4,-4,WM,UKG,71428,103704,"Birmingham, Northfield",Lab,Lab,-4,-4,Bir,Lab hold ,
E14000566,"Birmingham, Perry Barr",-3,-2,WM,UKG,69943,112420,"Birmingham, Perry Barr",Lab,Lab,-3,-2,Bir,Lab hold ,
E14000567,"Birmingham, Selly Oak",-3,-5,WM,UKG,75092,108848,"Birmingham, Selly Oak",Lab,Lab,-2.5,-5,Bir,Lab hold ,
E14000568,"Birmingham, Yardley",-2,-3,WM,UKG,72146,113069,"Birmingham, Yardley",Lab,Lab,-1.5,-3,Bir,Lab hold ,
E14000569,Bishop Auckland,-2,12,NE,UKC,66070,88794,Bishop Auckland,Lab,Lab,-2,12,Bis,Lab hold ,
E14000570,Blackburn,-6,10,NW,UKD,73260,109163,Blackburn,Lab,Lab,-6,10,Bla,Lab hold ,
E14000571,Blackley and Broughton,-6,6,NW,UKD,71913,121759,Blackley and Broughton,Lab,Lab,-6,6,Bla,Lab hold ,
E14000572,Blackpool North and Cleveleys,-6,12,NW,UKD,62468,83152,Blackpool North and Cleveleys,Con,Con,-6,12,Bla,Con hold ,
E14000573,Blackpool South,-8,11,NW,UKD,57411,79725,Blackpool South,Lab,Lab,-7.5,11,Bla,Lab hold ,
E14000574,Blaydon,-3,14,NE,UKC,67901,88273,Blaydon,Lab,Lab,-3,14,Bla,Lab hold ,
E14000575,Blyth Valley,-2,17,NE,UKC,61247,83985,Blyth Valley,Lab,Lab,-1.5,17,Bly,Lab hold ,
E14000576,Bognor Regis and Littlehampton,2,-15,SE,UKJ,72995,106496,Bognor Regis and Littlehampton,Con,Con,2.5,-15,Bog,Con hold ,
E14000577,Bolsover,0,3,EM,UKF,71979,98531,Bolsover,Lab,Lab,0.5,3,Bol,Lab hold ,
E14000578,Bolton North East,-7,7,NW,UKD,67895,97992,Bolton North East,Lab,Lab,-6.5,7,Bol,Lab hold ,
E14000579,Bolton South East,-7,6,NW,UKD,69687,105872,Bolton South East,Lab,Lab,-7,6,Bol,Lab hold ,
E14000580,Bolton West,-8,7,NW,UKD,72719,96124,Bolton West,Con,Con,-7.5,7,Bol,Con hold ,
E14000581,Bootle,-10,7,NW,UKD,70145,99224,Bootle,Lab,Lab,-9.5,7,Boo,Lab hold ,
E14000582,Boston and Skegness,4,5,EM,UKF,67064,106272,Boston and Skegness,Con,Con,4.5,5,Bos,Con hold ,
E14000583,Bosworth,0,-1,EM,UKF,79738,104589,Bosworth,Con,Con,0.5,-1,Bos,Con hold ,
E14000584,Bournemouth East,-8,-13,SW,UKK,72275,107483,Bournemouth East,Con,Con,-7.5,-13,Bou,Con hold ,
E14000585,Bournemouth West,-8,-14,SW,UKK,72082,105394,Bournemouth West,Con,Con,-8,-14,Bou,Con hold ,
E14000586,Bracknell,-2,-10,SE,UKJ,81271,111021,Bracknell,Con,Con,-2,-10,Bra,Con hold ,
E14000587,Bradford East,-2,9,YH,UKE,66121,118123,Bradford East,Lab,Lab,-1.5,9,Bra,Lab hold ,
E14000588,Bradford South,-2,8,YH,UKE,63674,105363,Bradford South,Lab,Lab,-2,8,Bra,Lab hold ,
E14000589,Bradford West,-3,9,YH,UKE,63372,117969,Bradford West,Lab,Lab,-2.5,9,Bra,Lab hold ,
E14000590,Braintree,8,-2,EA,UKH,73557,101121,Braintree,Con,Con,8,-2,Bra,Con hold ,
